iter	Passed	Remaining
0	1	123
1	2	113
2	3	111
3	4	100
4	5	101
5	6	101
6	7	99
7	8	97
8	9	95
9	10	93
10	11	92
11	12	90
12	13	88
13	14	87
14	15	88
15	16	86
16	17	86
17	18	85
18	19	83
19	20	82
20	21	81
21	22	79
22	23	78
23	24	78
24	25	76
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	39	63
38	40	62
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	43
58	60	42
59	61	41
60	62	39
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
